,0
0,Unnamed: 0
1,Unnamed: 0.1
2,EIN
3,2012_tax_prd
4,2012_subseccd
5,2012_unrelbusinccd
6,2012_initiationfees
7,2012_grsrcptspublicuse
8,2012_grsincmembers
9,2012_grsincother
10,2012_totcntrbgfts
11,2012_totprgmrevnue
12,2012_invstmntinc
13,2012_txexmptbndsproceeds
14,2012_royaltsinc
15,2012_grsrntsreal
16,2012_grsrntsprsnl
17,2012_rntlexpnsreal
18,2012_rntlexpnsprsnl
19,2012_rntlincreal
20,2012_rntlincprsnl
21,2012_netrntlinc
22,2012_grsalesecur
23,2012_grsalesothr
24,2012_cstbasisecur
25,2012_cstbasisothr
26,2012_gnlsecur
27,2012_gnlsothr
28,2012_netgnls
29,2012_grsincfndrsng
30,2012_lessdirfndrsng
31,2012_netincfndrsng
32,2012_grsincgaming
33,2012_lessdirgaming
34,2012_netincgaming
35,2012_grsalesinvent
36,2012_lesscstofgoods
37,2012_netincsales
38,2012_miscrevtot11e
39,2012_totrevenue
40,2012_compnsatncurrofcr
41,2012_othrsalwages
42,2012_payrolltx
43,2012_profndraising
44,2012_totfuncexpns
45,2012_totassetsend
46,2012_txexmptbndsend
47,2012_secrdmrtgsend
48,2012_unsecurednotesend
49,2012_totliabend
50,2012_retainedearnend
51,2012_totnetassetend
52,2012_nonpfrea
53,2012_gftgrntsrcvd170
54,2012_txrevnuelevied170
55,2012_srvcsval170
56,2012_grsinc170
57,2012_grsrcptsrelated170
58,2012_totgftgrntrcvd509
59,2012_grsrcptsadmissn509
60,2012_txrevnuelevied509
61,2012_srvcsval509
62,2012_subtotsuppinc509
63,2012_totsupp509
64,2013_tax_pd
65,2013_subseccd
66,2013_s501c3or4947a1cd
67,2013_schdbind
68,2013_politicalactvtscd
69,2013_lbbyingactvtscd
70,2013_subjto6033cd
71,2013_dnradvisedfundscd
72,2013_prptyintrcvdcd
73,2013_maintwrkofartcd
74,2013_crcounselingqstncd
75,2013_hldassetsintermpermcd
76,2013_rptlndbldgeqptcd
77,2013_rptinvstothsecd
78,2013_rptinvstprgrelcd
79,2013_rptothasstcd
80,2013_rptothliabcd
81,2013_sepcnsldtfinstmtcd
82,2013_sepindaudfinstmtcd
83,2013_inclinfinstmtcd
84,2013_operateschools170cd
85,2013_frgnofficecd
86,2013_frgnrevexpnscd
87,2013_frgngrntscd
88,2013_frgnaggragrntscd
89,2013_rptprofndrsngfeescd
90,2013_rptincfnndrsngcd
91,2013_rptincgamingcd
92,2013_operatehosptlcd
93,2013_hospaudfinstmtcd
94,2013_rptgrntstogovtcd
95,2013_rptgrntstoindvcd
96,2013_rptyestocompnstncd
97,2013_txexmptbndcd
98,2013_invstproceedscd
99,2013_maintescrwaccntcd
100,2013_actonbehalfcd
101,2013_engageexcessbnftcd
102,2013_awarexcessbnftcd
103,2013_loantofficercd
104,2013_grantoofficercd
105,2013_dirbusnreltdcd
106,2013_fmlybusnreltdcd
107,2013_servasofficercd
108,2013_recvnoncashcd
109,2013_recvartcd
110,2013_ceaseoperationscd
111,2013_sellorexchcd
112,2013_ownsepentcd
113,2013_reltdorgcd
114,2013_intincntrlcd
115,2013_orgtrnsfrcd
116,2013_conduct5percentcd
117,2013_compltschocd
118,2013_f1096cnt
119,2013_fw2gcnt
120,2013_wthldngrulescd
121,2013_noemplyeesw3cnt
122,2013_filerqrdrtnscd
123,2013_unrelbusinccd
124,2013_filedf990tcd
125,2013_frgnacctcd
126,2013_prohibtdtxshltrcd
127,2013_prtynotifyorgcd
128,2013_filedf8886tcd
129,2013_solicitcntrbcd
130,2013_exprstmntcd
131,2013_providegoodscd
132,2013_notfydnrvalcd
133,2013_filedf8282cd
134,2013_f8282cnt
135,2013_fndsrcvdcd
136,2013_premiumspaidcd
137,2013_filedf8899cd
138,2013_filedf1098ccd
139,2013_excbushldngscd
140,2013_s4966distribcd
141,2013_distribtodonorcd
142,2013_initiationfees
143,2013_grsrcptspublicuse
144,2013_grsincmembers
145,2013_grsincother
146,2013_filedlieuf1041cd
147,2013_txexmptint
148,2013_qualhlthplncd
149,2013_qualhlthreqmntn
150,2013_qualhlthonhnd
151,2013_rcvdpdtngcd
152,2013_filedf720cd
153,2013_totreprtabled
154,2013_totcomprelatede
155,2013_totestcompf
156,2013_noindiv100kcnt
157,2013_nocontractor100kcnt
158,2013_totcntrbgfts
159,2013_prgmservcode2acd
160,2013_totrev2acola
161,2013_prgmservcode2bcd
162,2013_totrev2bcola
163,2013_prgmservcode2ccd
164,2013_totrev2ccola
165,2013_prgmservcode2dcd
166,2013_totrev2dcola
167,2013_prgmservcode2ecd
168,2013_totrev2ecola
169,2013_totrev2fcola
170,2013_totprgmrevnue
171,2013_invstmntinc
172,2013_txexmptbndsproceeds
173,2013_royaltsinc
174,2013_grsrntsreal
175,2013_grsrntsprsnl
176,2013_rntlexpnsreal
177,2013_rntlexpnsprsnl
178,2013_rntlincreal
179,2013_rntlincprsnl
180,2013_netrntlinc
181,2013_grsalesecur
182,2013_grsalesothr
183,2013_cstbasisecur
184,2013_cstbasisothr
185,2013_gnlsecur
186,2013_gnlsothr
187,2013_netgnls
188,2013_grsincfndrsng
189,2013_lessdirfndrsng
190,2013_netincfndrsng
191,2013_grsincgaming
192,2013_lessdirgaming
193,2013_netincgaming
194,2013_grsalesinvent
195,2013_lesscstofgoods
196,2013_netincsales
197,2013_miscrev11acd
198,2013_miscrevtota
199,2013_miscrev11bcd
200,2013_miscrevtot11b
201,2013_miscrev11ccd
202,2013_miscrevtot11c
203,2013_miscrevtot11d
204,2013_miscrevtot11e
205,2013_totrevenue
206,2013_grntstogovt
207,2013_grnsttoindiv
208,2013_grntstofrgngovt
209,2013_benifitsmembrs
210,2013_compnsatncurrofcr
211,2013_compnsatnandothr
212,2013_othrsalwages
213,2013_pensionplancontrb
214,2013_othremplyeebenef
215,2013_payrolltx
216,2013_feesforsrvcmgmt
217,2013_legalfees
218,2013_accntingfees
219,2013_feesforsrvclobby
220,2013_profndraising
221,2013_feesforsrvcinvstmgmt
222,2013_feesforsrvcothr
223,2013_advrtpromo
224,2013_officexpns
225,2013_infotech
226,2013_royaltsexpns
227,2013_occupancy
228,2013_travel
229,2013_travelofpublicoffcl
230,2013_converconventmtng
231,2013_interestamt
232,2013_pymtoaffiliates
233,2013_deprcatndepletn
234,2013_insurance
235,2013_othrexpnsa
236,2013_othrexpnsb
237,2013_othrexpnsc
238,2013_othrexpnsd
239,2013_othrexpnse
240,2013_othrexpnsf
241,2013_totfuncexpns
242,2013_nonintcashend
243,2013_svngstempinvend
244,2013_pldgegrntrcvblend
245,2013_accntsrcvblend
246,2013_currfrmrcvblend
247,2013_rcvbldisqualend
248,2013_notesloansrcvblend
249,2013_invntriesalesend
250,2013_prepaidexpnsend
251,2013_lndbldgsequipend
252,2013_invstmntsend
253,2013_invstmntsothrend
254,2013_invstmntsprgmend
255,2013_intangibleassetsend
256,2013_othrassetsend
257,2013_totassetsend
258,2013_accntspayableend
259,2013_grntspayableend
260,2013_deferedrevnuend
261,2013_txexmptbndsend
262,2013_escrwaccntliabend
263,2013_paybletoffcrsend
264,2013_secrdmrtgsend
265,2013_unsecurednotesend
266,2013_othrliabend
267,2013_totliabend
268,2013_unrstrctnetasstsend
269,2013_temprstrctnetasstsend
270,2013_permrstrctnetasstsend
271,2013_capitalstktrstend
272,2013_paidinsurplusend
273,2013_retainedearnend
274,2013_totnetassetend
275,2013_totnetliabastend
276,2013_nonpfrea
277,2013_totnooforgscnt
278,2013_totsupport
279,2013_gftgrntsrcvd170
280,2013_txrevnuelevied170
281,2013_srvcsval170
282,2013_pubsuppsubtot170
283,2013_exceeds2pct170
284,2013_pubsupplesspct170
285,2013_samepubsuppsubtot170
286,2013_grsinc170
287,2013_netincunreltd170
288,2013_othrinc170
289,2013_totsupp170
290,2013_grsrcptsrelated170
291,2013_totgftgrntrcvd509
292,2013_grsrcptsadmissn509
293,2013_grsrcptsactivities509
294,2013_txrevnuelevied509
295,2013_srvcsval509
296,2013_pubsuppsubtot509
297,2013_rcvdfrmdisqualsub509
298,2013_exceeds1pct509
299,2013_subtotpub509
300,2013_pubsupplesub509
301,2013_samepubsuppsubtot509
302,2013_grsinc509
303,2013_unreltxincls511tx509
304,2013_subtotsuppinc509
305,2013_netincunrelatd509
306,2013_othrinc509
307,2013_totsupp509
308,2014_tax_prd
309,2014_subseccd
310,2014_s501c3or4947a1cd
311,2014_schdbind
312,2014_politicalactvtscd
313,2014_lbbyingactvtscd
314,2014_subjto6033cd
315,2014_dnradvisedfundscd
316,2014_prptyintrcvdcd
317,2014_maintwrkofartcd
318,2014_crcounselingqstncd
319,2014_hldassetsintermpermcd
320,2014_rptlndbldgeqptcd
321,2014_rptinvstothsecd
322,2014_rptinvstprgrelcd
323,2014_rptothasstcd
324,2014_rptothliabcd
325,2014_sepcnsldtfinstmtcd
326,2014_sepindaudfinstmtcd
327,2014_inclinfinstmtcd
328,2014_operateschools170cd
329,2014_frgnofficecd
330,2014_frgnrevexpnscd
331,2014_frgngrntscd
332,2014_frgnaggragrntscd
333,2014_rptprofndrsngfeescd
334,2014_rptincfnndrsngcd
335,2014_rptincgamingcd
336,2014_operatehosptlcd
337,2014_hospaudfinstmtcd
338,2014_rptgrntstogovtcd
339,2014_rptgrntstoindvcd
340,2014_rptyestocompnstncd
341,2014_txexmptbndcd
342,2014_invstproceedscd
343,2014_maintescrwaccntcd
344,2014_actonbehalfcd
345,2014_engageexcessbnftcd
346,2014_awarexcessbnftcd
347,2014_loantofficercd
348,2014_grantoofficercd
349,2014_dirbusnreltdcd
350,2014_fmlybusnreltdcd
351,2014_servasofficercd
352,2014_recvnoncashcd
353,2014_recvartcd
354,2014_ceaseoperationscd
355,2014_sellorexchcd
356,2014_ownsepentcd
357,2014_reltdorgcd
358,2014_intincntrlcd
359,2014_orgtrnsfrcd
360,2014_conduct5percentcd
361,2014_compltschocd
362,2014_f1096cnt
363,2014_fw2gcnt
364,2014_wthldngrulescd
365,2014_noemplyeesw3cnt
366,2014_filerqrdrtnscd
367,2014_unrelbusinccd
368,2014_filedf990tcd
369,2014_frgnacctcd
370,2014_prohibtdtxshltrcd
371,2014_prtynotifyorgcd
372,2014_filedf8886tcd
373,2014_solicitcntrbcd
374,2014_exprstmntcd
375,2014_providegoodscd
376,2014_notfydnrvalcd
377,2014_filedf8282cd
378,2014_f8282cnt
379,2014_fndsrcvdcd
380,2014_premiumspaidcd
381,2014_filedf8899cd
382,2014_filedf1098ccd
383,2014_excbushldngscd
384,2014_s4966distribcd
385,2014_distribtodonorcd
386,2014_initiationfees
387,2014_grsrcptspublicuse
388,2014_grsincmembers
389,2014_grsincother
390,2014_filedlieuf1041cd
391,2014_txexmptint
392,2014_qualhlthplncd
393,2014_qualhlthreqmntn
394,2014_qualhlthonhnd
395,2014_rcvdpdtngcd
396,2014_filedf720cd
397,2014_totreprtabled
398,2014_totcomprelatede
399,2014_totestcompf
400,2014_noindiv100kcnt
401,2014_nocontractor100kcnt
402,2014_totcntrbgfts
403,2014_prgmservcode2acd
404,2014_totrev2acola
405,2014_prgmservcode2bcd
406,2014_totrev2bcola
407,2014_prgmservcode2ccd
408,2014_totrev2ccola
409,2014_prgmservcode2dcd
410,2014_totrev2dcola
411,2014_prgmservcode2ecd
412,2014_totrev2ecola
413,2014_totrev2fcola
414,2014_totprgmrevnue
415,2014_invstmntinc
416,2014_txexmptbndsproceeds
417,2014_royaltsinc
418,2014_grsrntsreal
419,2014_grsrntsprsnl
420,2014_rntlexpnsreal
421,2014_rntlexpnsprsnl
422,2014_rntlincreal
423,2014_rntlincprsnl
424,2014_netrntlinc
425,2014_grsalesecur
426,2014_grsalesothr
427,2014_cstbasisecur
428,2014_cstbasisothr
429,2014_gnlsecur
430,2014_gnlsothr
431,2014_netgnls
432,2014_grsincfndrsng
433,2014_lessdirfndrsng
434,2014_netincfndrsng
435,2014_grsincgaming
436,2014_lessdirgaming
437,2014_netincgaming
438,2014_grsalesinvent
439,2014_lesscstofgoods
440,2014_netincsales
441,2014_miscrev11acd
442,2014_miscrevtota
443,2014_miscrev11bcd
444,2014_miscrevtot11b
445,2014_miscrev11ccd
446,2014_miscrevtot11c
447,2014_miscrevtot11d
448,2014_miscrevtot11e
449,2014_totrevenue
450,2014_grntstogovt
451,2014_grnsttoindiv
452,2014_grntstofrgngovt
453,2014_benifitsmembrs
454,2014_compnsatncurrofcr
455,2014_compnsatnandothr
456,2014_othrsalwages
457,2014_pensionplancontrb
458,2014_othremplyeebenef
459,2014_payrolltx
460,2014_feesforsrvcmgmt
461,2014_legalfees
462,2014_accntingfees
463,2014_feesforsrvclobby
464,2014_profndraising
465,2014_feesforsrvcinvstmgmt
466,2014_feesforsrvcothr
467,2014_advrtpromo
468,2014_officexpns
469,2014_infotech
470,2014_royaltsexpns
471,2014_occupancy
472,2014_travel
473,2014_travelofpublicoffcl
474,2014_converconventmtng
475,2014_interestamt
476,2014_pymtoaffiliates
477,2014_deprcatndepletn
478,2014_insurance
479,2014_othrexpnsa
480,2014_othrexpnsb
481,2014_othrexpnsc
482,2014_othrexpnsd
483,2014_othrexpnse
484,2014_othrexpnsf
485,2014_totfuncexpns
486,2014_nonintcashend
487,2014_svngstempinvend
488,2014_pldgegrntrcvblend
489,2014_accntsrcvblend
490,2014_currfrmrcvblend
491,2014_rcvbldisqualend
492,2014_notesloansrcvblend
493,2014_invntriesalesend
494,2014_prepaidexpnsend
495,2014_lndbldgsequipend
496,2014_invstmntsend
497,2014_invstmntsothrend
498,2014_invstmntsprgmend
499,2014_intangibleassetsend
500,2014_othrassetsend
501,2014_totassetsend
502,2014_accntspayableend
503,2014_grntspayableend
504,2014_deferedrevnuend
505,2014_txexmptbndsend
506,2014_escrwaccntliabend
507,2014_paybletoffcrsend
508,2014_secrdmrtgsend
509,2014_unsecurednotesend
510,2014_othrliabend
511,2014_totliabend
512,2014_unrstrctnetasstsend
513,2014_temprstrctnetasstsend
514,2014_permrstrctnetasstsend
515,2014_capitalstktrstend
516,2014_paidinsurplusend
517,2014_retainedearnend
518,2014_totnetassetend
519,2014_totnetliabastend
520,2014_nonpfrea
521,2014_totnooforgscnt
522,2014_totsupport
523,2014_gftgrntsrcvd170
524,2014_txrevnuelevied170
525,2014_srvcsval170
526,2014_pubsuppsubtot170
527,2014_exceeds2pct170
528,2014_pubsupplesspct170
529,2014_samepubsuppsubtot170
530,2014_grsinc170
531,2014_netincunreltd170
532,2014_othrinc170
533,2014_totsupp170
534,2014_grsrcptsrelated170
535,2014_totgftgrntrcvd509
536,2014_grsrcptsadmissn509
537,2014_grsrcptsactivities509
538,2014_txrevnuelevied509
539,2014_srvcsval509
540,2014_pubsuppsubtot509
541,2014_rcvdfrmdisqualsub509
542,2014_exceeds1pct509
543,2014_subtotpub509
544,2014_pubsupplesub509
545,2014_samepubsuppsubtot509
546,2014_grsinc509
547,2014_unreltxincls511tx509
548,2014_subtotsuppinc509
549,2014_netincunrelatd509
550,2014_othrinc509
551,2014_totsupp509
